,country,description,points,price,variety,description_length
249,US,smell taste quite ripe wine softening resolving age year showing streak veggie green behind cherry,83,34.0,Syrah,164
250,US,always dry elegant pinot noir signorello la amigas display quality show dried raspberry cherry cola flavor distinct minerality dusting tobacco black pepper fancy pinot natural lamb steak,92,50.0,Pinot Noir,264
251,US,cola cherry mocha vanilla flavor light bodied silky wine pronounced acidity finish dry bit rustic offer good pinot character,85,24.0,Pinot Noir,157
252,Italy,paleo pure expression cabernet franc coastal tuscany drop dead gorgeous wine amazing intensity purity aroma get bright berry note drying mineral exotic spice cooling acidity firm satisfying structure rich velvety beautiful wine award memorable drinking experience year time,98,125.0,Cabernet Franc,374
253,France,oxidative spicy effusive mineral note provide complexity turn heavy mouth without fruit balance crisp silky texture short medium finish,87,40.0,Alsace white blend,175
254,US,dry chardonnay marked pronounced acid steely mineral underlying flavor exotic pineapple guava new oak lee aging add richer note buttered toast sour cream drink,90,30.0,Chardonnay,223
255,Italy,bright friulano luminous golden color intense aroma honey peach passion fruit wine taste soft supple mouth delivers load fruity peach flavor close nice wine delivers high structure lively fruit fragrance time,88,18.0,Friulano,318
256,Italy,oak dominates overall character wine forward note toasted wood tobacco leaf roasted coffee bean hint plum wood fruit,85,20.0,Red Blend,174
257,US,simple direct minty flavor blackberry licorice cola peppercorn vanilla plus side wine fully dry tannin smooth,84,8.0,Cabernet Sauvignon,156
258,US,good price cab rich supple deep flavor flavor blackberry pie filling milk chocolate anise sweet oak yet softly balanced dry delicious drinking,90,30.0,Cabernet Sauvignon,220
259,US,soft broadly fruity chardonnay near tropical ripeness banana papaya flavor dominate accented pretty baking spice touch mineral,88,32.0,Chardonnay,164
260,France,somebody carried away wood wine totally dominated flavor burnt even new wood much said fruit could increase weight black berry flavor another three four year,88,24.0,Malbec,261
261,Italy,le focaie great value wine easy one dimensional fruit characteristic cherry blackberry cinnamon spice wine natural thickness consistency recall sunniest vineyard southern tuscany,87,15.0,Sangiovese,222
262,US,wild feral quality fine pinot noir forest flavor wild mushroom thyme fennel anise pine along familiar flavor red cherry cola sandalwood elegant ageable,94,75.0,Pinot Noir,236
263,US,crushed stone dried clay note lend distinctly earthen character dry light bodied riesling pressed apple pear flavor palate freshened squirt lime lemon tart green plum finish finish long lingering,87,15.0,Riesling,254
264,France,weight structure almost overpowering fresh blackberry fruit wine presence big powerful bitter fruit black fig finishing final punch richness,86,20.0,Bordeaux-style Red Blend,203
265,US,quite distinguished flamboyant aroma spicy blackcurrants cassis oaky overlay smoke vanilla feel good soon hit palate blackberry flavor last finish jolt dry tannin make palate puckery suggests midterm aging,90,38.0,Cabernet Sauvignon,305
266,US,get extra year barrel bottle prior release two third cabernet sauvignon syrah petit verdot still tart tannic wine carry full load herb earth characteristic less impact fruit high alcohol would suggest,89,50.0,Red Blend,285
267,US,unfortunately available bermuda wonderful bottling show salted brambleberries crushed violet asphalt rosemary pinpointed florality fresh yet concentrated nose palate zesty darkly focused elderberry stewed plum thyme earl grey tea quite complex effort,94,34.0,Pinot Noir,316
268,US,captivating wine tread line rhône bordeaux splash cabernet though fraction blend stand wine depth persistence mix grape work well showing brambly red fruit like zin spice pepper like syrah herbal leafy tobacco finish complex unique quite appealing,91,45.0,Red Blend,362
269,Italy,fuss blend chardonnay fiano offer simple tone citrus pear segue crisp clean mouthfeel pair fresh southern italian white insalata di mare seafood salad,86,29.0,White Blend,199
270,France,medium intense note sweet grass fresh red apple slice green melon lime citrus nose mouth medium weight moderate supporting acidity clean finish drink,86,10.0,White Blend,190
271,US,pure cabernet sauvignon heavy wine within sleek profile interesting flavor berry leaf earth tannin crisp proportionate fruit carry graceful moderately long finish,87,36.0,Red Blend,231
272,Spain,aroma chocolate mint creamy vanilla candy reflect heavy handed oak treatment sweet burnt cherry chocolate mint character present throughout creamy tongue confected term flavor finish,84,18.0,Tempranillo,233
273,US,ripe fleshy young fruit cab minor amount cab franc merlot show black currant plum cherry cedar flavor dry sweet dusting crushed brown herb spice fairly tannic tight balanced enough mid term aging best,89,95.0,Cabernet Sauvignon,284
274,Spain,early blast gaseous sulfur heavyweight tempranillo smell toasted oak graphite latex alcohol palate lush meaty jammy borderline syrupy flavor blackberry fig chocolate finish depth extreme richness drink,92,100.0,Tempranillo,283
275,Italy,terre di maria sicilian blend cabernet sauvignon merlot syrah pinot noir open dark concentration savory aroma spice cured meat smoked bacon dark berry fruit bouquet slightly muddled mouthfeel bright fresh,87,27.0,Red Blend,267
276,US,intricate aroma spicy complex flavor make medium bodied wine adventure drink smell like cherry clove wood smoke taste nicely ripe dry appetizing tannic grip texture,89,16.0,Barbera,225
277,US,eric hamacher done fine job wine alcohol fine balance precise mix strawberry pie cherry root beer herb flavor medium bodied open accessible simple reason wait could cellared six year,90,45.0,Pinot Noir,298
278,US,little sharp minty pinot dry acidic flavor cherry cola mouthfeel silky going anywhere drink,84,48.0,Pinot Noir,153
279,US,hot high alcohol give burn accentuates pepper spice make fierce yet fully dry rich blackberry blueberry anise tobacco flavor defines california superripe zinfandel style,87,22.0,Zinfandel,225
280,France,firm dry wine tannin bitter extraction hard side juicy fruit balance,82,20.0,Bordeaux-style Red Blend,119
281,US,soft round explosive burst candied fruit palate barbera concentrated flavor dried cherry plum milk chocolate latter pop finish,86,24.0,Barbera,191
282,France,produced top year rich wine impressive great fruit ripe strawberry red currant bringing juicy fruitiness also serious mineral texture come tangy acidity age wine month drink end,92,17.0,Rosé,283
283,US,rustic wine strong edgy tannin modest cherry coffee flavor dry astringent soften beef,85,24.0,Syrah,134
284,US,ripe generously oaked palate chardonnay flavor pineapple jam buttered toast buttered popcorn brightened crisp acidity,85,26.0,Chardonnay,159
285,Italy,dark berry truffle toast kitchen spice aroma meld glass palate note roasted coffee bean powdered sage ground pepper accent core dried black cherry assertive tannin provide framework end astringent note,87,19.0,Red Blend,261
286,US,earthy spicy aroma lead rolling smoky layer typical cab flavor berry tobacco touch sweet oak give okay complexity,83,16.0,Cabernet Sauvignon,141
287,Italy,rubesco riserva dark sophisticated wine blend sangiovese canajolo big aroma red fruit exotic spice vintage exceptionally hot year show extra ripeness fruit touch bitterness close,89,55.0,Red Blend,262
288,France,toasty note slightly menthol like oak layered ripe blackberry fruit medium bodied wine finish crisp tart mouthwatering give another month better integrate oak drink next five year,87,16.0,Malbec-Merlot,257
289,France,generous opulent wood aged wine fruit play delicious part blackberry juice acidity play counterpoint toasty wood flavor dark tannin fine toasty aftertaste promise good aging drink,91,20.0,Bordeaux-style Red Blend,255
290,France,clerc milon winemaking team mouton rothschild attractive wine heavy already quite soft seems heavily extracted new world style new wood aroma flavor losing something pauillac winner immediately attractive imported diageo chateau estate,89,55.0,Bordeaux-style Red Blend,339
291,Italy,open aroma dark berry toast espresso whiff dark cooking spice bracing palate offer unripe cherry licorice powdered sage toasted oak alongside bracing tannin leave astringent mouth puckering finish,87,29.0,Nebbiolo,245
292,US,wine venge taken giant leap front rank california syrah producer made fruit sourced great stagecoach vineyard straddle atlas cool mountain region acidity preserved concentrated fruit easily handle new french oak dramatic high alcohol selection gorgeous drink remain fresh next six year,94,54.0,Syrah,432
293,France,ripe open packed melon tropical fruit flavor wine already showing enticing drinkability fresh ripe fruit layered mineral character cushion wood,90,65.0,Chardonnay,204
294,US,dark rich ripe syrah defines california style preserve fine structure cool climate region lends red wine wine dry tannic flavor blackberry cherry blueberry dark chocolate sweet smoky oak delicious year,92,27.0,Syrah,309
295,US,brander struggled merlot year bottling achieve plenty cherry berry mocha fruit challenge continues tannic structure improvement notable,87,20.0,Merlot,183
296,France,excellent color firmly fruity wine attractive edge tannin giving good structure showing fresh nouveau fruit,86,12.0,Gamay,151
297,Italy,cantina tre serre well priced informal barbera thin informal style backed fruity freshness even tiny touch effervescence add perky peppery sensation mouthfeel,84,11.0,Barbera,215
298,France,solidly structured wine show firm tannin mineral structure typical wine côte du py dense black cherry fruit along sacidity cut structure could age another year worth drinking,91,24.0,Gamay,247
299,US,year value red blend surprisingly different syrah main component spicier sappy loaded bright forward berry flavor bordeaux grape fill second half blend add note herb earth leaf hint stone delicious fine value,88,15.0,Red Blend,310
300,US,cabernet sauvignon balance malbec petit verdot merlot wine offer brooding well delineated aroma flavor blackberry dried flower black tea herb earth barrel spice light meaty note packed tightly firm tannin also show great length drink,94,150.0,Bordeaux-style Red Blend,334
301,US,sweet pea vine green herb add freshness perfumed flower luscious peach nectar note classically styled pinot gris dry yet mouthfilling rich finish long note stone fruit black tea leaf,88,14.0,Pinot Gris,239
302,US,rounder fruity inaugural pinot gris succulent green apple bosch pear flavor balanced crisp refreshing acid,88,15.0,Pinot Gris,155
303,US,one wish mike januik made riesling made bacchus vineyard fruit excellent made bright spicy palate pleasing style offer lively flavor citrus orange pear hint mint splash jasmine tea engaging long refreshing finish add pleasure,93,20.0,Riesling,338
304,US,best new release michael florentino changed hand since vintage harvested autumnal flavor marry vivid distinctive fruit hint leaf citrus elegant complex,91,25.0,Mourvèdre,209
305,US,nice held back wine year releasing beginning meld together delightful way tannin oak alcohol coalescing cherry pomegranate cola tangerine vanilla spice giving wine silky complex mellow mouthfeel beautifully dry lush develop,93,45.0,Pinot Noir,374
306,US,give tough young cabernet good long decant serving first dominated sharp acidity mouth numbing tannin airing offer black currant flavor likely ager,86,50.0,Cabernet Sauvignon,219
307,France,intriguing wine offer ripe sweetness followed edgy rustic acidity stage evolution probably tannin promise aging intensely aromatic nature fruit point potentially fine wine drink yet,89,55.0,Pinot Noir,267
308,US,get case make house wine easy drinking dry spicy enough cherry berry cola flavor satisfy tastebud,85,10.0,Merlot,158
309,Italy,cherry citrus rind oak make short stout nose seems precise palate pure cherry coffee flavor poking veil tight tannin get even firmer finish smack raisin wine requires airing cellar time,88,30.0,Bordeaux-style Red Blend,276
310,US,smooth ripe bordeaux blend pleases rich array blackberry cherry spicy plum flavor texture soft chocolaty loses point two sugary finish though drink,85,40.0,Bordeaux-style Red Blend,207
311,US,great vintage tax santa barbara bottling great value really delivers offering dry elegantly structured complex wine silky texture house savory flavor cherry red currant cola sandalwood umami taste bacon delicious drinking,91,23.0,Pinot Noir,309
312,US,bone dry aroma freshly pressed apple austere elegant sparkling blend chardonnay pinot noir note delicate white florals yeast backdrop palate savory dusty quality accented racy acidity strong minerally finish,87,25.0,Champagne Blend,284
313,US,bit rough ready show basic cabernet quality full bodied flavor blackberry currant chocolate smoky oak good tailgate party,83,13.0,Cabernet Sauvignon,161
314,US,nice ripely sweet fresh blackberry cherry oak flavor syrah made drinking dry rich tannin soft velvety mouthfeel show interesting complication smoked meat pepper cola mineral,88,54.0,Syrah,241
315,US,von strasser good track record wine right best forewarned tannic diamond mountain give good year least throw sediment let rich blackberry black currant flavor emerge hold well year,92,75.0,Cabernet Sauvignon,323
316,US,fan ripe modern style chardonnay fall love bottling strong toast buttered popcorn vanilla cream peach pear pineapple jam flavor dazzle wow palate easy find nearly case produced,87,22.0,Chardonnay,259
317,US,straightforward chard show well ripened flavor pineapple jam nectarine peach vanilla finish caramelized butterscotchy sweetness,84,18.0,Chardonnay,160
318,US,unbalanced lot acidity hard tannin raisiny flavor alongside green one,82,27.0,Zinfandel,88
319,US,nice syrah dark dry full bodied although bit young thick jammy primary fruit flavor smooth balanced rich blackberry pie chocolate violet beef carpaccio bacon pepper flavor develop,91,34.0,Syrah,262
320,US,fruity easy soft wine sweet flavor apricot caramel valdiguié formerly known napa gamay red grape account note crushed raspberry,84,17.0,Viognier-Valdiguié,186
321,Italy,beautifully extracted voluptuous barolo cannubi cru would pair tender veal shank slow cooked falling bone black cherry spice root beer fragrant earthy tone appear nose wine close tight firm structure cellar age ten year,93,95.0,Nebbiolo,312
322,US,bordeaux blend based cabernet sauvignon merlot grape stunning wine came david abreu vineyard st helena foothill complex softer open approachable colgin cab flamboyant spectrum cherry framboise cocoa violet gingerbread spice framed supple fine tannin beautiful feminine wine great beauty drink,95,225.0,Bordeaux-style Red Blend,422
323,Italy,pale luminous rosé southern italy pinkish peach color delicate aroma stone fruit wild berry white cherry touch chopped mint basil wine tart also slightly sweet mouth touch bitter almond close,85,15.0,Rosé,286
324,Spain,full roasted earthy nose coconut berry aroma sweeten thing tight level structured mouth roasted raspberry plum along oaky buttery smoky accent confirm wine roble designation good excess oak process,86,18.0,Tempranillo,300
325,Italy,absolutely terrific informal sparkling rosé southern italy made negroamaro grape sweet berry chopped mint peach come fore wine soft slightly sweet easy fresh would make great cocktail choice,86,10.0,Negroamaro,260
326,Spain,dark sweet candied nose hint raisin licorice become prominent mouth saturated also somewhat monotone single leveled term flavor get narrow band sweet black cherry raisin front short finish nice always best allende reviewed,89,26.0,Tempranillo,338
327,US,although ste michelle widely available merlot offering break mold held back considerable time prior release unusual wine scent overripe raisined fruit streak tobacco black licorice soft midpalate bitterness finishing tannin,84,16.0,Merlot,309
328,France,dilute grapey flavor candied pile charred lumber make go easier simple wood juice quaff,81,7.0,Syrah,137
329,US,lovely zinfandel soft appealing fine balance dry rich cherry currant provençal herb spice tobacco flavor show real complexity change glass,91,25.0,Zinfandel,200
330,US,hot unbalanced fruit flavor span gamut raisin mint zin bone dry rustic wine rugged tannin coarse finish,82,17.0,Zinfandel,171
331,US,amador foothill good job sangiovese dry rosé made variety cheerful wine brisk acidity delicate complex cherry rose petal lavender flavor winemaker recommends bouillabaisse pretty good suggestion,86,11.0,Sangiovese,278
332,US,veneered oak nose bear strong aroma carpenter shop charred sugar note dark stone fruit cranberry sauce lingering beneath initially soft syrupy midpalate gain tannic traction raw meat blackberry flavor mark juicy finish,84,23.0,Bordeaux-style Red Blend,286
333,Spain,dark night dominated meaty plum beef jerky aroma palate huge pure fruit tannin chocolate pooling finish new classic every sense stellar balance complexity less case made imported tempranillo inc,96,150.0,Tempranillo,269
334,France,tannin red plum combine light elegant wine acidity important though fruit fresh rather warm,88,47.0,Pinot Noir,130
335,US,epitomizes dry creek valley zinfandel dry briary brambly wild berry cola crisped bacon flavor incredibly spicy offering everything black white pepper nutmeg anise clove texture gently tannic official alcohol taste warmer,90,24.0,Zinfandel,326
336,Spain,airén big crop white grape usually distilled brandy made sherry see dry white table wine limited scope wine punch bowl approach cleansing lime kiwi flavor decent,83,8.0,Airen,249
337,US,rather tough astringent crunchy dry tannin acidity dominating fine vineyard vintage core cherry red currant cola could develop next six year,88,70.0,Pinot Noir,231
338,France,spice blackcurrant aroma combined solid tannin powerful wood flavor give spectacular polished style contrast often rustic wine come appellation wine come year old vine aged new wood month,91,86.0,Syrah,285
339,US,simple hot sweet sour success,80,20.0,Syrah,54
340,US,little thin side fruit wise show modest peach pear flavor lot caramelly toasty oak,82,13.0,Chardonnay,111
341,US,much oak pinot noir might think tasting dessert made vanilla cream toasted meringue like crust baked alaska load ripe raspberry cherry show excellent hallmark fine santa rita pinot noir certainly one oakier version,90,95.0,Pinot Noir,326
342,Spain,aroma white flower stone fruit lee typical well made albariño juicy elegant palate mix citrus stone fruit flavor lasting hint pithy character coming finish,90,17.0,Albariño,218
343,US,toasty bit cedar menthol nose red berry licorice palate fruit delicate tart particularly finish flavor almost lemony,84,18.0,Cabernet Sauvignon,193
344,US,made directly appealing style syrah soft slightly sweet offer flavor blackberry cherry jam milk chocolate note anise tangerine rind drink,88,27.0,Syrah,192
345,US,elegant restrained yet lovely pinot noir much maligned vintage soft round cherry fruit wrapped sandalwood mocha flavor fully ripe fine tannin lovely integration barrel note,90,35.0,Pinot Noir,217
346,Italy,alessandro plump syrah bold generous red wine richly layered aroma cherry blackberry rum cake bacon fat toasted nut pair wine abbacchio arrosto roast lamb,88,20.0,Syrah,198
347,US,score reflects rich cherry blackberry cola smoked meat flavor dry crisp silky wine also take account certain funkiness one dimensional simplicity,84,15.0,Tempranillo,191
348,Italy,dark espresso leather black plum aroma flavor mouthfeel full balanced good acidity dry long finish show tar licorice bitter chocolate flavor along tannin shed time allow solid fruit come behind lavish toast veil,87,20.0,Sangiovese,313
349,US,soft simple candied peach pear flavor oaky leesy influence make little fancier,83,9.0,Chardonnay,115
350,US,pretty good price dry fruity polished cherry cassis flavor turn little harsh minty easy like pizza burger enchilada,85,12.0,Red Blend,165
351,US,wine seems barely ripe thin herbal almost vegetal flavor sour streak barrel aging may contributed suggestion vanilla licorice,83,25.0,Syrah,169
352,US,first class cabernet dry richly tannic mouthwateringly tart acidity show savory blackberry cherry flavor oak give umami tang smoke drink,93,55.0,Cabernet Sauvignon,197
353,US,fogarty basic chard show exciting crispness minerality good make long single vineyard bottlings come elegant angularity wine despite succulent pineapple kiwi new oak brisk acidity make finish vibrantly clean,90,28.0,Chardonnay,300
354,US,wine good blackberry oak flavor strong green hit vegetable distracting,80,22.0,Petite Sirah,106
355,US,absolutely easy drink soft silky wine pleasantly ripe berry cherry flavor rich asian spiciness throughout dry balanced,84,15.0,Zinfandel,155
356,Italy,latest edition hekate open bright amber gold color show lively aroma stone fruit especially apricot honey caramel almond paste yellow rose taste thick sticky deliciously sweet close,92,30.0,White Blend,232
357,US,power characterizes bordeaux blend mainly cabernet sauvignon strong primary fruit showcasing blackberry black cherry plum carob cola also strong tannin brisk scoury mouthfeel add dryness young fresh wine charm limited ageability decanting,90,50.0,Bordeaux-style Red Blend,353
358,US,zinfandel taste feel hot port like people enjoy style feel bit clumsy overripe nonetheless blackberry raisin chocolate flavor tasty,82,32.0,Zinfandel,191
359,US,fruity soft candied high alcohol wine blackberry cherry pie filling flavor rustic texture cabernet sauvignon syrah variety,84,40.0,Cabernet Blend,171
360,Italy,delivers lively plush quality ripe blackberry leather tobacco cola cigar box mouthfeel bold soft velvety keep wine cellar five year,91,56.0,Nebbiolo,198
361,US,opening attractive mocha raspberry carob scent turn bit tart mouth rustic tannin provide backdrop char vanilla flavor finish,81,28.0,Dolcetto,185
362,US,cherry berry herb flavor buried inside bigtime tannin numb palate dry smoothly textured wine questionable whether wine enough stuffing cellar,87,48.0,Red Blend,194
363,US,good pinot show fine coastal influence dry silky display flavor ripe cherry dr pepper cola red licorice sandalwood cinnamon pepper flourish drink,88,25.0,Pinot Noir,196
364,France,medium intense scent dark berry black plum unfold bouquet wine soft hint vanilla toast garrigue background mouthfeel robust gripping skin driven fruit flavor solid tannin stay finish,88,17.0,Rhône-style Red Blend,271
365,France,big fat wine life popular image meursault perhaps could little depth flavor ripe glassful chardonnay,89,80.0,Chardonnay,164
366,Italy,genuine simple interpretation barbera asti superiore fresh fruit layer vibrant tone cherry cranberry pomegranate easy pairing food wine boast cleansing acidity medium density polished finish,87,18.0,Barbera,243
367,US,pure red mountain cabernet sauvignon fruit brings sexy flavor wild berry cassis vintage bright acid fairly tamed tannin fruit pop lovely cherry flavor maybe concentrated past vintage beautifully proportioned accessible still ageworthy medium term,91,38.0,Cabernet Sauvignon,327
368,US,parducci true grit sensation worthy successor dry tannic amazingly rich flood mouth blackberry cherry currant leather coffee carob peppery spice flavor go finish like great young petite sirah age many year,93,25.0,Petite Sirah,303
369,Spain,perfectly nice ultimately basic approach nose initally dry woodsy plenty balsam later palate reveals previously unseen black cherry element finish crisp lean drink,85,11.0,Tempranillo,231
370,Italy,full generous red wine umbria aged month cask month small barrel month bottle release soften notoriously hard tannin sagrantino grape firm structure still apparent wine end cherry spice bold super ripe raspberry,89,55.0,Sagrantino,331
371,US,mostly cabernet sauvignon bordeaux blend nice wine drinking forward blackberry cherry oak flavor finish little sweet,86,30.0,Bordeaux-style Red Blend,165
372,US,pleasant effort light cherry flavored show little evidence barrel flavor despite aging french oak tannin stiffen give bit backbone,87,19.0,Pinot Noir,185
373,US,classic california interpretation southern rhône style blend good wine smooth pleasant particularly complex offering rich flavor cherry cherry liqueur cola mocha bacon white pepper drink,89,42.0,G-S-M,240
374,US,held cab sangiovese blend back still awkward clean fruity way sugary sweet dry table wine,82,18.0,Cabernet Blend,135
375,France,certain creamy nuttiness suggested nose sunniness expressed generous mirabelle ripeness body still slight subtle graceful texture lovely touch lemon freshness finish,91,27.0,Sylvaner,253
376,Italy,bright pink rosé full bouquet berry floral aroma also pungent point chemical solvent back creates awkward first impression wine bright firm crisp palate,82,11.0,Rosé,225
377,Italy,made vineyard throughout village serralunga alba straightforward wine still closed reveals black cherry espresso prune subtle oak alongside note tire rubber still extremely young aggressive tannin dry finish,88,49.0,Nebbiolo,273
378,Italy,blend cabernet sauvignon syrah show pristine polished bouquet composed black fruit rum cake licorice tobacco spice ripe fruit cassis note finish add softness heft elegant complex especially mouth,91,25.0,Red Blend,281
379,France,wine come gascony gascon famous beret inseparable blend mainly gros manseng herbal character also yellow fruit ripe edge honey softens fill crisp green fruit flavor drink,87,13.0,White Blend,269
380,US,firehouse red tamarack bread butter wine rightfully though mélange cabernet syrah merlot franc malbec pull focus spicy slightly high toned fruit bright herbal mix tart red fruit nettle wild herb bring lot complexity essentially mutt wine,88,20.0,Red Blend,340
381,US,quite tart young spicy red pull sharp puckery cranberry fruit focus best enjoyed chilled would fine option base wine punch,87,17.0,Dolcetto,172
382,US,heavy dull mouth seemed picked darkest ripest softest plummiest lot plastered wine oak bad grenache lack vibrancy lift want pinot noir,84,42.0,Pinot Noir,221
383,US,ripe pure flavor tropical fruit meyer lemon lime peach mark lovely chardonnay new french oak add luscious note buttered toast crisp acidity clean spicy finish beautiful chard drink,91,28.0,Chardonnay,236
384,US,warm spice oak tone accent fresh apple lemon full bodied chardonnay subtle dense slick caramel extends along midpalate kick lemon lime acidity finish add levity,86,25.0,Chardonnay,232
385,France,ripe pink grapefruit flavor dominate delicious wine minerality well richness crispened taut tannin citrus aftertaste,90,15.0,Melon,153
386,US,oddly sweet medicinal sugary apricot orange soda flavor deficient acidity,80,15.0,Viognier,93
387,Spain,familiar less unusual prior vintage wine deal typical upright lemon lime tropical fruit aroma backed green apple lemon based flavor good acidity even keel solid fresh dry albariño disappoint imported grape spain,88,27.0,Albariño,297
388,US,one best cab venerable winery despite cool vintage burnt edge blackberry pie filling flavor tasted late tannin astringent shut palate could show better,85,38.0,Cabernet Sauvignon,246
389,Italy,region lazio central italy well known wine well priced blend montepulciano merlot show enological potential rich penetrating wine load black fruit spice,87,13.0,Red Blend,235
390,US,dry succulent brings tangy flavor rhubarb raspberry focus made picnic anything better fried chicken widely available score bullseye target summer sipper,89,14.0,Rosé,235
391,US,start oaky jammy aroma cherry raspberry taste little sweet fruit pastry baked crust seems little one dimensional although dimension delicious one cabernet sauvignon petit verdot cabernet franc malbec,87,80.0,Bordeaux-style Red Blend,270
392,Spain,muruve label worth watching toro wine brawny robust instead offer reserved pleasure reserva show coconut black plum aroma ripe structured black fruit flavor coffee vanilla flood finish overall wine raring go next year,89,19.0,Tinta de Toro,345
393,US,dusty detailed pure viognier incorporates note lemon pepper tart fresh lemon pulp rind plus hint curry powder make interesting accompaniment raw clam oyster,89,20.0,Viognier,207
394,US,blend cabernet sauvignon merlot cabernet franc complex old vine characteristic emerge graceful lengthy detailed subtle wine weave together herb tobacco olive brambly berry drink,93,50.0,Bordeaux-style Red Blend,244
395,US,little sugar go long way dessert wine primarily splash muscat viognier quite sweet apricot tangerine peach honey dusty spice flavor would great wine flavor concentrated,87,35.0,White Blend,252
396,France,considering reputation lynch bages rich polished wine surprising team jean michel cazes daniel lhose produced superlatively ripe opulent wine one could almost come napa quite fruit compact dense layer acidity speak bordeaux california imported diageo chateau estate,94,60.0,Bordeaux-style Red Blend,392
397,US,release mannina dense dark substantial cassis black cherry fruit set stiff streak char coffee backed firm ripe tannin length balance right ripe fruit young vine,90,30.0,Cabernet Sauvignon,267
398,US,heavy duty cabernet big every way rich black cherry cassis fruit dense dark tannin long slightly grainy finish reinforces impression raw power yet wine retains perfect proportion nicely differentiated crafted winemaker chris figgins,95,89.0,Cabernet Sauvignon,313
399,France,delicious inviting note eucalyptus chocolate covered cherry wild raspberry nose palate exhibit darker flavor way black cherry plum fleshing solidly structured medium weight mouth moderate evolving finish close nicely kiss sweet oak,87,15.0,Rhône-style Red Blend,302
400,US,malbec dry tannic acidic impossible enjoy core blackberry wow tough wine decant hour try barbecue,84,30.0,Malbec,197
401,US,light bodied gentle intricate wine offer plenty flavor nuance cranberry herb tea aroma mark nose mouthfeel soothing tangy mulled cherry clove aroma slowly emerge persist finish treat sip savor,91,39.0,Pinot Noir,293
402,US,distinctive aroma beeswax bee pollen continue similar flavor wrapped around tart yellow apple fruit lovely fragrant ageworthy high acid euro mold give plenty time breathe decanting good idea,90,17.0,Pinot Blanc,243
403,US,grape fruit flavor blackberry black cherry nicely focused rounded vanilla tobacco component perhaps aggressive oak treatment bring bit bitterness tannin fight soon pick winner,86,25.0,Malbec,286
404,US,bit unripe herb mint flavor side side blackberry cassis show classic napa mountain structure tannin acid mint reprises sharp finish ager,85,50.0,Merlot,197
405,France,roughly equal part grenache syrah mourvèdre probably lirac top wine moment big rich mouth leaving behind coating dark fruit hint meaty savoriness baking spice softly layered wood,93,43.0,Rhône-style Red Blend,237
406,Spain,blackberry cola prime aroma comprise alluring bouquet expect also leather spicy wood thrown mouth intense ride rich black cherry plum little closed finish likely better three year,89,49.0,Tempranillo,292
407,US,little sweet make wine less subtle pinot noir chardonnay blend jammy raspberry cherry vanilla smoke flavor finish sweet,85,40.0,Sparkling Blend,167
408,US,winery got walla walla grape freeze year even l ecole owns piece seven hill vineyard rely source many wine seven hill syrah delivers wonderful fruit flavor layer citrus tart berry green tea streak cut substantial tannin,89,37.0,Syrah,352
409,US,soft dense dark fruit almost baked fruit flavor veer nut vanilla easy drinking zin blended smidge zin vintage well petite sirah crafted lodi producer watch,88,24.0,Zinfandel,238
410,US,mainly syrah splash grenache mourvèdre viognier polished wine marked thing red red cherry red currant red licorice dry full bodied tannic swallow astrigency remains behind aftertaste crushed red pepper lovely complex wine decant,92,35.0,Rhône-style Red Blend,327
411,Italy,bouquet marked steady stream bright raspberry rose wild berry bitter almond sassy crispness finish pair well cheese mayonnaise based appetizer,87,18.0,Rosé,193
412,France,soft ripe fruity attractive ready drink wine juicy red fruit balanced tannin offering dry contrast finish dark structured suggestive wine potential aging,87,12.0,Bordeaux-style Red Blend,220
413,Italy,light bodied lacking tannin traditional barbera attractive mixed berry fruit nose followed forest floor graham cracker flavor mouth drink,86,15.0,Barbera,195
414,US,similar kameron bordeaux blend based cabernet sauvignon merlot upfront blackberry cherry cassis oak spice flavor quite tannic puckery astringency suggests needed time cellar better,91,55.0,Red Blend,275
415,Spain,montsant white oily oaky nose palate garnacha blanca plump feeling decent acidity full flavor papaya melon finish oily feel green note scallion flavor case made,86,17.0,Garnacha Blanca,248
416,Spain,crisp white fruit aroma come touch green grass feel regular briny lime tart apple flavor,85,30.0,Sparkling Blend,116
417,Italy,gorgeous wine exhibit beautiful sophistication austere aroma elegant spice candied fruit licorice maple syrup aged beautifully thus far promise bright future ahead mouthfeel tight polished firm tannin exceptional integrity fruit,93,140.0,"Corvina, Rondinella, Molinara",289
418,US,good price rich textured syrah show delicious cherry black raspberry chocolate anise pepper sandalwood flavor wrapped smooth tannin drink soft fruity syrah,87,16.0,Syrah,192
419,US,wet slate minerality lead brisk tightly wound nose palate wine bit perfumed least tight nose element crisp apple pear touch nectarine,87,45.0,Chardonnay,197
420,Italy,sweet dark cherry plum fruit get need give sulfur nose time blow wait worth full lush mouthfeel caress palate finish dry even decant drinking wait year two,89,18.0,Sangiovese,281
421,US,come rustic side price pretty good dry cabernet show variety full bodied fanciness blackberry currant cocoa licorice flavor rich steak vanilla oak,85,10.0,Cabernet Sauvignon,217
422,US,aging quickly taste principally raisin brown sugar tannin soft wine slightly past peak drink,84,30.0,Pinot Noir,143
423,US,rich chardonnay plenty offer creamy smooth mouth dry flavor citrus tropical fruit vanilla buttered toast brisk clean acidity,87,18.0,Chardonnay,175
